Year,Genre_ID,Average_Rating,Total_Movies,Box_Office_Millions,Avg_Runtime_Minutes,Budget_Millions,Votes_Count,Popularity_Score
2008,9,8.2,90,17.64,111,159.46,301881,78.8
2008,9,8.6,192,154.43,160,47.49,172349,85.8
2008,9,5.4,215,192.63,132,176.42,17562,98.8
2008,9,7.6,153,64.36,105,60.43,356398,67.6
2009,1,8.3,254,550.9,138,243.93,493503,96.1
2009,1,8.5,106,57.54,136,48.75,274541,79.0
2009,1,8.0,198,2.21,147,24.98,495829,82.5
2009,2,8.7,39,97.88,98,192.4,280343,99.5
2009,3,7.7,177,14.98,124,52.46,264445,50.3
2009,4,6.0,95,193.64,165,168.26,364169,71.7
2009,4,8.1,282,34.49,173,161.22,386693,66.4
2009,4,5.2,215,39.51,144,193.81,263678,55.3
2009,5,7.3,134,317.11,88,147.28,364647,88.4
2009,5,8.5,80,511.93,143,213.87,99802,77.4
2009,5,6.1,98,7.77,107,49.21,282729,93.8
2009,5,9.0,61,370.22,115,52.97,43137,84.1
2009,5,7.3,78,152.4,108,27.46,170439,82.7
2009,5,6.5,166,20.44,92,182.84,308322,96.1
2009,6,5.6,287,6.48,105,19.42,405911,71.4
2009,6,7.0,81,79.57,175,44.43,311272,75.2
2009,7,8.8,59,84.42,159,208.32,56739,93.3
2009,7,7.4,159,84.21,151,72.72,465307,91.6
2009,8,8.5,151,164.88,115,19.45,68443,67.1
2009,8,5.9,73,387.66,139,105.04,297124,59.2
2009,9,7.6,112,92.04,178,223.58,494087,94.1
2009,9,7.0,161,104.43,133,24.06,375368,60.7
2010,1,8.6,223,77.24,112,234.23,152285,71.8
2010,1,7.6,260,145.94,99,81.0,344104,80.2
2010,1,6.5,140,87.86,85,41.92,319261,52.8
2010,1,4.5,296,79.08,122,43.15,245754,63.3
2010,1,5.7,127,156.52,165,216.19,166637,51.9
2010,3,4.7,126,191.3,122,143.69,265860,76.4
2010,3,7.0,98,60.54,112,60.67,365883,80.8
2010,3,7.4,112,65.61,124,234.26,1215,52.9
2010,3,8.1,131,141.1,93,57.1,344003,69.2
2010,5,6.9,28,16.26,105,229.94,72916,82.8
2010,5,7.5,228,13.15,143,150.79,118769,53.0
2010,6,6.3,101,428.48,134,109.8,283229,67.1
2010,6,5.7,166,2.0,175,176.79,303240,59.2
2010,8,6.6,283,209.01,92,143.58,103072,94.3
2010,8,5.6,291,151.61,130,103.29,290238,98.2
2010,8,7.3,33,120.91,99,143.12,440257,90.3
2010,9,7.9,113,112.37,138,40.23,268727,50.4
2011,1,4.9,202,68.77,108,90.99,127519,87.7
2011,1,4.7,90,168.29,133,70.73,479646,85.0
2011,2,5.7,28,22.47,130,104.84,165211,59.7
2011,2,6.7,132,203.7,105,27.08,92229,63.0
2011,2,9.0,81,34.97,90,67.38,376348,78.4
2011,2,8.6,66,205.42,124,88.92,271665,54.4
2011,3,7.9,84,693.94,159,222.66,312256,97.0
2011,3,5.5,206,121.62,167,15.3,324086,66.7
2011,3,8.2,292,203.53,114,221.1,499224,50.9
2011,3,8.7,233,102.69,157,151.12,294459,95.7
2011,4,5.3,125,400.8,154,209.9,71474,73.7
2011,4,7.8,168,127.23,117,229.61,257574,87.0
2011,4,7.1,87,244.08,138,23.65,140392,94.7
2011,4,7.0,37,231.81,147,109.71,340148,52.7
2011,4,5.3,123,120.91,173,48.1,146213,79.3
2011,5,6.7,197,80.63,145,110.35,485933,88.3
2011,5,5.0,22,151.36,104,177.48,217191,59.2
2011,5,8.7,76,15.39,87,102.95,111776,83.8
2011,5,7.1,248,110.43,91,53.88,110321,81.3
2011,7,6.0,242,24.79,116,108.03,169065,94.2
2011,7,5.3,73,22.1,150,217.73,292043,70.5
2011,7,6.4,281,230.16,179,112.34,114221,59.6
2011,7,8.4,117,167.24,111,239.91,183447,82.3
2011,7,5.4,210,191.25,96,106.66,469013,54.6
2011,7,6.3,263,3.36,138,69.25,269591,67.7
2011,8,8.9,138,13.38,170,110.71,485607,77.3
2011,8,5.1,226,74.59,137,173.73,358171,99.7
2011,8,6.6,104,89.86,156,109.39,308300,78.8
2011,8,6.1,298,2.39,136,69.0,52272,53.3
2011,8,5.8,136,1.73,128,209.83,222849,95.5
2011,9,9.0,52,82.33,85,126.16,23504,98.5
2011,9,5.3,262,74.83,140,20.8,457477,70.8
2011,9,5.6,198,35.72,177,160.16,21045,95.7
2011,9,4.7,27,292.06,106,165.85,331511,59.4
2011,9,5.1,15,203.85,145,108.56,58786,84.5
2012,1,9.1,166,116.09,177,148.67,387486,93.4
2012,1,6.9,103,164.11,122,234.34,277524,52.5
2012,1,8.3,255,230.76,97,243.03,142385,86.3
2012,2,7.9,84,76.04,127,22.14,386944,94.9
2012,2,8.6,140,46.64,145,203.36,316783,65.5
2012,2,7.3,112,53.91,163,214.14,128870,87.0
2012,2,8.9,116,210.12,161,229.13,220222,72.4
2012,2,4.9,132,74.33,119,220.12,92074,63.5
2012,3,8.9,19,491.75,178,207.59,274667,73.7
2012,3,7.3,172,28.69,146,147.19,62868,54.1
2012,3,9.0,263,80.3,152,72.68,177326,81.4
2012,3,7.7,41,63.92,104,204.12,375416,95.4
2012,4,9.2,161,147.21,169,29.23,257228,55.2
2012,4,4.9,238,44.13,150,237.83,141416,91.9
2012,4,8.4,208,310.92,122,233.62,361971,54.9
2012,6,8.6,95,166.61,121,20.94,116600,63.2
2012,7,8.8,259,199.88,94,140.61,486877,78.7
2012,7,7.1,158,123.45,97,248.07,273544,57.6
2012,7,7.6,89,104.0,151,209.35,464120,53.8
2012,7,7.4,26,41.9,143,135.13,306761,87.9
2012,8,5.3,246,377.72,174,76.22,249780,89.8
2012,8,5.6,203,369.29,127,133.91,277274,80.4
2012,8,6.8,86,397.37,174,164.85,198780,93.6
2012,8,5.4,174,131.8,164,190.44,296685,99.0
2012,9,6.9,202,108.04,115,82.81,166250,62.2
2012,9,7.1,137,16.42,88,228.22,413540,86.0
2012,9,5.0,289,54.99,149,89.59,425041,89.7
2012,9,5.8,162,122.44,143,168.96,182089,67.1
2013,1,6.3,225,72.95,138,38.89,129023,71.0
2013,1,8.9,101,112.38,88,74.95,451824,65.2
2013,1,5.6,259,579.18,124,238.13,351239,73.7
2013,1,8.8,150,89.81,97,234.29,210087,84.3
2013,2,8.4,75,228.5,108,104.29,351988,77.9
2013,2,5.6,121,41.54,163,198.97,63699,98.1
2013,2,5.9,52,601.82,120,92.92,77290,69.5
2013,3,5.3,57,16.33,139,125.51,370359,78.4
2013,3,5.7,82,11.96,87,227.69,16896,52.4
2013,4,8.6,116,150.02,173,185.25,370673,85.8
2013,4,4.8,172,122.8,143,168.33,102444,53.2
2013,5,9.2,130,196.68,119,104.34,122635,80.0
2013,5,7.2,156,145.03,158,207.84,80335,60.2
2013,5,5.0,189,590.11,169,29.58,499221,55.2
2013,7,8.6,52,71.87,122,163.07,199763,50.5
2013,8,5.3,178,7.99,116,191.5,163002,63.6
2013,8,7.4,290,18.92,136,46.34,9997,60.9
2013,8,5.3,44,135.51,140,143.14,237538,95.5
2013,9,6.3,186,72.5,166,164.04,154706,91.2
2013,9,8.7,71,107.17,101,21.81,348186,82.7
2014,1,5.6,191,89.43,127,24.3,295311,64.6
2014,2,5.4,274,91.02,158,209.77,84981,56.6
2014,2,5.7,182,91.88,93,94.74,49639,55.3
2014,3,4.5,85,399.26,163,11.53,174615,55.3
2014,3,8.1,169,254.95,90,21.69,197497,55.6
2014,4,7.8,80,372.96,151,221.04,365416,74.4
2014,5,7.1,18,278.92,89,244.81,408775,91.8
2014,5,9.0,83,354.77,109,180.27,137668,79.0
2014,5,6.5,58,222.48,111,91.92,235337,60.2
2014,6,8.1,187,30.87,115,48.45,334134,68.3
2014,6,4.9,197,69.58,151,225.51,367862,98.4
2014,6,8.4,64,15.78,116,149.98,42505,55.0
2014,6,5.0,168,193.99,138,171.54,356492,96.4
2014,6,4.9,131,249.0,106,247.22,32551,98.7
2014,6,8.8,193,26.66,161,29.03,122118,89.9
2014,6,7.5,279,34.31,136,205.45,83203,78.4
2014,7,4.7,62,170.4,136,61.36,258831,98.3
2014,8,8.4,210,441.74,170,244.55,90813,68.8
2014,8,7.4,212,214.75,96,58.37,498760,61.4
2014,8,4.8,149,49.46,129,171.97,90242,94.5
2014,9,5.7,16,105.99,122,48.86,50178,70.5
2014,9,7.2,209,60.75,85,11.0,74591,52.0
2014,9,8.6,28,21.52,176,204.87,30063,81.4
2015,1,7.9,65,4.79,169,243.71,436281,96.5
2015,1,9.0,142,190.5,112,34.82,217597,72.6
2015,1,6.9,121,363.15,116,247.48,250264,82.3
2015,2,8.8,133,124.73,119,75.28,412012,53.7
2015,2,9.0,261,86.3,101,129.99,113564,61.3
2015,2,6.0,104,119.04,165,204.32,151056,63.7
2015,2,7.5,89,75.99,160,15.76,450614,71.3
2015,2,6.2,140,179.24,163,145.5,252071,56.5
2015,2,6.0,67,89.89,146,85.1,257306,58.3
2015,4,6.0,293,65.22,171,248.94,474656,97.9
2015,4,7.2,148,78.07,164,23.69,34302,90.4
2015,4,4.9,107,838.39,112,54.47,164991,81.9
2015,4,7.7,89,64.6,89,112.59,393007,58.7
2015,5,6.1,176,38.95,177,92.26,436126,94.6
2015,5,7.7,55,194.6,144,137.65,166750,54.6
2015,5,5.0,161,109.35,102,70.55,88245,78.5
2015,5,6.3,77,15.51,179,85.79,115003,67.4
2015,5,5.2,227,159.19,174,81.19,394711,51.2
2015,5,6.7,274,137.01,89,105.84,385928,91.0
2015,6,5.9,152,117.73,133,16.88,305128,75.7
2015,6,7.9,132,659.23,164,33.62,114627,82.0
2015,6,5.6,169,133.82,142,244.77,169112,71.0
2015,7,6.6,274,469.63,178,42.3,205603,66.8
2015,7,7.0,285,401.07,139,171.4,65384,86.6
2015,7,5.6,15,1.52,124,219.49,376572,80.1
2015,7,6.2,224,169.77,123,29.24,430145,50.5
2015,7,6.2,281,63.52,145,78.55,259667,97.8
2015,8,9.1,98,415.6,102,18.32,138126,95.6
2015,8,8.6,164,123.18,97,163.83,25700,54.6
2015,8,7.1,100,2.43,146,118.42,40886,99.1
2015,8,6.2,96,221.96,169,169.97,136895,58.2
2015,8,8.3,197,307.74,160,204.44,346665,79.6
2015,8,8.0,130,222.41,173,77.99,401705,72.6
2016,1,8.5,151,127.94,121,62.29,250200,89.1
2016,1,8.4,197,143.53,116,221.99,26279,80.3
2016,1,7.5,271,315.54,156,152.96,84123,92.2
2016,1,6.7,51,282.51,99,60.33,372780,83.6
2016,2,6.3,61,247.75,96,148.45,32601,96.9
2016,2,5.7,287,93.35,179,88.47,25354,62.9
2016,2,7.3,141,389.59,85,21.61,21056,56.7
2016,3,8.4,42,175.72,134,122.24,306402,60.9
2016,3,5.3,163,98.74,146,239.1,243262,73.0
2016,3,8.4,217,118.68,148,74.51,442110,64.6
2016,3,6.0,59,70.08,143,74.6,107311,63.4
2016,4,7.1,293,216.32,135,29.58,197753,64.5
2016,4,8.4,118,42.32,101,130.07,461572,99.3
2016,4,7.4,187,25.98,174,228.72,384775,97.8
2016,5,8.6,202,413.09,147,84.03,279910,80.6
2016,5,8.2,50,201.5,147,22.31,278948,66.3
2016,5,7.6,178,7.07,179,169.32,120875,73.5
2016,5,6.5,30,277.99,94,109.56,432322,54.4
2016,5,4.9,239,73.07,90,58.55,411488,73.3
2016,5,5.1,276,4.31,99,90.21,58986,62.1
2016,5,5.6,65,150.04,169,110.41,204975,63.7
2016,5,4.8,105,52.81,156,11.55,494057,82.0
2016,5,4.9,228,187.12,120,164.97,29885,98.8
2016,6,6.8,154,320.13,137,150.36,26739,58.3
2016,7,7.7,127,156.5,179,34.06,175326,85.0
2016,7,5.0,156,339.56,124,40.13,144424,67.3
2016,7,7.2,170,324.38,126,170.9,464406,68.1
2016,7,7.6,34,55.88,153,142.13,420543,60.6
2016,7,5.0,122,642.97,114,148.51,230167,61.6
2016,8,6.9,103,289.87,168,72.06,342609,73.4
2016,8,5.8,86,29.38,104,22.1,357144,58.3
2016,9,7.6,250,80.35,95,223.76,382923,57.8
2017,1,5.3,166,301.29,122,235.25,373339,52.0
2017,1,5.2,61,94.71,132,218.42,469668,95.5
2017,1,9.2,156,80.29,167,206.82,121654,82.4
2017,2,7.4,176,36.51,168,95.31,216503,66.3
2017,2,9.0,235,25.92,116,82.59,176037,90.9
2017,3,5.6,240,52.58,115,141.73,398584,65.8
2017,3,9.1,61,57.09,129,186.25,363908,64.5
2017,3,5.4,171,42.66,99,139.67,289799,97.6
2017,3,5.7,44,2.34,162,130.01,363579,72.7
2017,4,6.6,253,70.15,124,116.04,202528,57.3
2017,4,8.5,139,78.83,110,203.0,414026,90.9
2017,5,4.6,173,1130.34,86,154.85,114758,71.9
2017,5,7.5,265,210.38,100,168.81,54634,81.5
2017,5,8.5,49,60.13,167,76.06,297902,56.3
2017,5,6.0,60,24.31,128,66.1,20782,63.0
2017,5,6.3,228,92.94,171,145.33,365633,98.0
2017,5,5.0,271,6.57,153,241.75,299276,95.4
