StudentID,HoursStudied,AttendancePercent,PreviousScore,Passed
20093,5.6,51.3,57.8,1
20094,7.7,67.8,76.8,0
20095,4.9,61.2,44.3,1
20096,5.2,75.0,50.5,1
20097,4.3,44.7,92.7,1
20098,0.3,98.5,30.9,0
20099,1.1,99.2,36.0,0
20100,0.3,81.9,44.6,0
20101,6.4,72.2,31.9,1
20102,3.1,58.6,42.7,0
20103,5.1,88.8,70.8,1
20104,9.1,81.1,59.5,1
20105,2.5,49.8,92.5,0
20106,4.1,94.7,87.2,1
20107,7.6,89.4,53.9,1
20108,2.3,97.0,48.2,1
20109,0.8,83.5,56.6,0
20110,2.9,76.8,71.3,1
20111,1.6,65.1,48.8,0
20112,9.3,96.0,73.7,1
20113,8.1,92.0,58.7,1
20114,6.3,42.7,68.6,1
20115,8.7,41.6,60.5,1
20116,8.0,62.6,50.6,1
20117,1.9,88.6,96.4,1
20118,8.9,99.2,83.5,1
20119,5.4,49.0,39.8,0
20120,8.1,75.6,90.8,1
20121,9.0,62.9,64.1,1
20122,3.2,98.2,92.6,1
20123,1.1,90.5,86.0,1
20124,2.3,90.3,59.8,0
20125,4.3,68.1,31.6,0
20126,8.2,64.9,48.8,1
20127,8.6,56.4,67.9,1
20128,0.1,43.4,74.3,0
20129,5.1,91.9,48.1,1
20130,4.2,88.8,39.8,1
20131,2.2,100.0,88.4,1
20132,1.2,99.8,98.9,1
20133,3.4,73.3,66.8,0
20134,9.4,86.1,42.0,1
20135,3.2,96.7,49.1,0
20136,5.2,91.0,31.3,1
20137,7.0,54.8,94.0,1
20138,3.6,67.0,38.2,0
20139,9.7,47.7,70.4,1
20140,9.6,97.2,49.2,1
20141,2.5,76.4,68.8,1
20142,5.0,53.7,75.6,0
20143,3.0,80.3,88.1,1
20144,2.8,77.1,44.4,1
20145,0.4,61.5,30.8,0
20146,6.1,46.8,39.6,0
20147,5.0,80.3,93.0,1
20148,0.5,71.2,91.2,0
20149,2.8,86.3,71.8,1
20150,9.1,71.2,72.0,1
20151,2.4,91.1,76.6,1
20152,1.4,73.1,42.3,0
20153,4.9,73.7,94.0,1
20154,9.9,92.6,59.3,1
20155,2.4,64.2,56.8,1
20156,6.7,48.0,66.3,1
20157,7.6,41.7,33.3,1
20158,2.4,85.3,41.6,0
20159,7.3,77.2,81.7,1
20160,3.7,82.2,35.8,1
20161,6.3,52.8,72.2,1
20162,6.3,48.2,47.2,1
20163,5.4,40.9,57.3,0
20164,0.9,61.0,50.2,0
20165,8.4,75.4,54.9,1
20166,3.2,63.5,80.3,1
20167,1.9,66.2,50.8,0
20168,0.4,94.2,69.6,0
20169,5.9,60.9,63.3,0
20170,6.8,70.8,76.5,1
20171,0.2,87.0,95.6,1
20172,5.1,63.8,81.3,1
20173,2.3,77.3,45.0,0
20174,6.5,91.7,32.2,1
20175,1.7,97.0,48.4,0
20176,6.9,48.8,71.7,1
20177,3.9,95.6,33.6,0
20178,9.4,69.5,64.7,1
20179,1.4,55.5,71.8,0
20180,3.4,67.5,53.4,1
20181,1.1,98.8,84.0,1
20182,9.2,69.6,37.5,1
20183,8.8,59.7,35.3,0
20184,2.6,78.0,81.0,1
20185,6.6,54.4,64.7,1
20186,8.2,44.6,78.2,1
20187,5.6,47.7,60.4,1
20188,5.3,47.7,47.2,1
20189,2.4,49.1,87.3,0
20190,0.9,48.3,86.0,0
20191,9.0,78.5,78.6,1
20192,9.0,50.9,49.1,1
20193,6.3,60.7,71.3,1
20194,3.4,93.8,55.3,1
20195,3.5,68.4,36.4,1
20196,7.3,80.1,94.2,1
20197,9.0,50.3,39.6,1
20198,8.9,51.5,96.5,1
20199,7.8,42.5,61.2,1
20200,6.4,50.1,43.0,0
20201,0.8,56.7,67.9,0
20202,1.6,50.6,91.1,1
20203,9.0,45.3,81.3,1
20204,6.1,47.2,86.5,1
20205,0.1,67.6,76.1,0
20206,1.0,52.4,78.5,0
20207,6.6,61.9,89.4,1
20208,0.1,70.2,47.5,0
20209,1.6,81.4,64.3,0
20210,5.5,42.4,45.5,0
20211,6.9,88.0,99.1,1
20212,6.5,77.7,96.1,1
20213,2.2,44.9,32.8,0
20214,7.1,92.4,79.4,1
20215,2.4,95.3,94.8,1
20216,3.3,43.7,42.6,0
20217,7.5,56.6,69.8,1
20218,6.5,88.4,94.1,1
20219,8.5,84.9,32.4,1
20220,6.6,51.1,78.8,1
20221,5.7,52.6,50.8,0
20222,0.9,62.2,94.7,0
20223,3.7,69.1,98.0,1
20224,2.7,77.1,96.1,1
20225,2.4,62.1,63.2,0
20226,9.7,67.8,90.3,1
20227,3.9,84.8,89.1,1
20228,8.9,42.2,52.3,0
20229,6.3,55.1,88.0,1
20230,7.9,82.8,32.6,1
20231,5.0,93.7,71.7,1
20232,5.8,70.7,46.1,0
20233,4.9,71.9,38.4,1
20234,2.0,46.4,35.4,0
20235,7.2,66.8,78.7,1
20236,2.8,72.0,53.8,0
20237,0.2,54.5,80.7,1
20238,6.5,56.2,34.6,1
20239,1.8,62.6,52.1,0
20240,9.4,41.2,67.8,1
20241,9.5,59.3,85.4,1
20242,9.1,52.7,52.3,1
20243,3.7,59.6,73.8,1
20244,0.2,47.2,92.0,1
20245,9.3,93.4,73.1,1
20246,4.3,75.6,46.3,0
20247,9.7,80.7,31.7,1
20248,9.6,87.4,90.9,0
20249,8.5,69.9,31.5,0
20250,2.9,45.2,91.2,0
20251,3.9,72.2,67.0,0
20252,8.5,75.2,95.7,1
20253,3.2,84.7,85.9,1
20254,1.7,65.9,99.9,1
20255,5.6,47.7,54.5,0
20256,9.4,57.0,83.7,1
20257,7.0,61.8,58.1,1
20258,5.7,78.8,63.6,1
20259,1.0,74.2,73.9,0
20260,6.2,61.4,91.2,1
20261,9.9,99.2,98.9,1
20262,1.4,76.3,83.8,1
20263,5.2,54.2,59.2,1
20264,8.8,46.1,59.5,1
20265,7.4,49.2,81.6,1
20266,7.0,54.8,46.7,0
20267,7.0,49.6,37.7,1
20268,3.6,51.2,54.8,0
20269,2.9,57.1,50.1,0
20270,8.1,50.4,50.7,1
20271,8.1,93.8,46.4,1
20272,8.7,44.8,32.9,0
20273,9.1,71.5,31.3,1
20274,5.1,64.6,99.1,1
20275,5.0,98.9,59.9,1
20276,8.0,46.7,56.9,1
20277,6.5,63.9,77.6,1
20278,7.0,98.2,45.3,1
20279,8.0,91.9,96.5,1
20280,8.9,89.0,85.0,1
20281,3.4,55.5,36.3,1
20282,3.8,50.3,59.2,0
20283,0.9,80.1,91.5,0
20284,5.8,95.8,96.1,1
20285,0.4,73.4,62.7,1
20286,4.7,74.3,72.9,1
20287,5.4,56.8,41.7,1
20288,2.9,86.2,99.4,1
20289,5.9,51.2,46.2,0
20290,0.3,59.4,96.0,0
20291,0.4,65.5,75.5,1
20292,8.2,70.5,72.5,1
20293,3.6,54.5,65.9,1
20294,1.3,46.9,46.1,0
20295,5.2,76.6,42.4,1
20296,7.7,57.3,45.4,0
20297,2.2,74.9,43.1,0
20298,6.2,49.3,84.6,1
20299,0.9,68.9,54.5,0
20300,0.5,72.0,34.0,0
20301,5.3,43.1,97.8,1
20302,5.4,60.2,91.9,1
20303,6.4,48.1,94.9,1
20304,7.3,43.8,99.6,1
20305,9.8,99.4,42.2,1
20306,5.2,59.3,57.7,0
20307,3.2,88.6,83.1,1
20308,8.0,55.3,78.7,1
20309,2.7,80.9,40.8,0
20310,4.4,85.6,87.1,1
20311,0.8,75.7,45.7,0
20312,0.3,68.3,45.7,1
20313,9.6,64.7,67.6,1
20314,8.4,60.9,71.5,0
20315,7.0,95.8,70.6,1
20316,4.1,89.8,36.4,0
20317,1.7,97.9,91.4,1
20318,1.6,47.5,48.6,0
20319,2.5,83.9,39.1,0
20320,5.5,96.3,92.2,1
20321,7.1,50.9,96.9,0
20322,6.6,44.0,90.3,1
20323,2.8,84.5,86.7,1
20324,9.5,74.5,75.9,1
20325,7.4,90.5,68.6,1
20326,5.5,48.4,36.1,1
20327,6.1,87.7,58.6,0
20328,4.2,52.1,56.1,1
20329,2.5,49.8,48.2,0
20330,3.6,49.9,80.6,1
20331,7.6,88.9,64.7,1
20332,0.1,79.9,35.7,0
20333,1.2,71.4,45.4,0
20334,0.5,61.5,77.8,0
20335,0.4,92.6,35.3,0
20336,8.6,63.5,89.6,1
20337,7.0,89.0,64.7,1
20338,4.7,66.3,63.6,0
20339,1.0,62.6,71.5,0
20340,4.9,67.8,87.7,1
20341,4.7,58.1,54.3,1
20342,1.7,84.9,77.5,1
20343,4.3,70.2,69.6,1
20344,4.0,53.9,48.7,0
20345,6.2,94.0,91.5,1
20346,6.4,63.0,85.8,1
20347,0.5,72.6,76.1,0
20348,3.7,94.4,89.5,1
20349,6.3,77.5,90.7,1
20350,5.0,47.0,79.6,1
20351,8.6,96.4,88.6,1
20352,6.6,77.7,78.8,1
20353,1.6,60.1,77.6,0
20354,0.7,48.4,73.3,1
20355,6.4,87.6,82.7,1
20356,0.3,77.2,41.1,0
20357,5.9,72.0,91.7,1
20358,9.4,93.6,91.0,1
20359,5.8,87.3,32.0,1
20360,3.9,49.1,87.8,1
20361,6.4,58.7,39.0,0
20362,4.6,54.9,53.5,1
20363,5.5,84.6,82.0,1
20364,9.4,42.0,41.3,1
20365,3.9,74.2,87.3,1
20366,9.6,85.7,88.2,1
20367,9.1,92.6,65.5,1
20368,2.0,60.5,30.4,0
20369,0.7,89.3,50.1,0
20370,1.0,46.6,73.2,0
20371,0.2,90.8,98.7,1
20372,0.9,47.6,74.2,0
20373,6.8,63.8,48.2,1
20374,0.7,87.8,74.4,1
20375,3.2,49.0,67.8,1
20376,8.4,53.8,84.6,1
20377,0.2,83.3,37.5,0
20378,8.1,83.2,83.3,1
20379,2.8,78.5,67.9,1
20380,1.2,81.6,97.4,1
20381,7.0,72.6,53.9,1
20382,6.3,55.1,74.3,0
20383,8.8,60.7,95.2,1
20384,7.4,50.9,37.2,1
20385,8.0,94.5,95.6,1
20386,2.8,75.0,78.2,1
20387,1.8,64.1,34.7,0
20388,7.5,67.7,51.1,1
20389,8.1,96.8,79.6,1
20390,9.9,49.2,34.7,1
20391,4.1,75.2,70.8,1
20392,3.7,70.4,54.2,0
20393,7.8,76.7,73.5,1
20394,3.4,41.1,33.2,0
20395,9.3,92.3,91.0,1
20396,8.6,95.9,98.1,1
20397,4.3,73.9,97.8,0
20398,7.5,81.8,82.5,1
20399,7.5,95.3,39.1,1
