Age,YearsAtCompany,MonthlyHours,SatisfactionScore,Salary,AttritionRisk
42,0.4,144.5,4.4,52582,48.9
32,2.8,155.5,5.0,56061,40.0
38,6.5,161.6,4.2,53202,31.2
34,0.3,156.1,9.3,60164,22.8
26,7.3,168.5,3.8,47549,17.8
41,4.7,133.9,8.4,65166,1.8
38,0.5,215.2,8.9,62110,33.1
56,3.1,174.6,4.8,52817,44.2
23,7.4,171.0,1.1,34408,51.3
57,3.8,144.9,4.0,43280,49.4
23,20.8,178.5,9.4,76616,3.2
40,1.6,160.9,8.6,55062,11.9
24,7.4,182.3,6.0,55539,34.2
45,2.1,203.2,6.9,60648,41.5
57,7.8,163.8,8.7,72225,25.5
42,6.4,167.9,4.3,42762,37.2
39,0.4,181.0,3.9,51576,50.2
44,5.0,167.5,6.7,56039,30.5
50,7.1,146.1,6.2,65533,30.0
29,4.0,103.8,1.8,28873,40.2
55,1.7,136.0,4.8,53171,36.6
54,0.8,152.8,2.1,34116,44.3
50,3.3,109.7,5.4,61549,17.2
38,0.1,179.1,5.9,49376,32.3
49,0.2,147.9,4.3,46071,44.4
30,6.8,116.1,5.4,47563,18.9
42,6.9,158.6,7.3,58079,21.5
30,0.1,179.0,2.3,35385,51.4
46,0.8,127.6,3.8,44202,36.5
36,4.5,189.1,5.3,49162,26.9
34,9.6,151.7,6.8,52325,14.7
41,5.0,190.1,7.6,61402,27.6
58,6.2,154.2,3.7,49981,36.2
31,0.4,184.6,5.2,49979,33.7
48,2.3,162.6,3.3,49824,29.3
27,9.8,141.5,2.1,42525,33.5
42,5.8,182.8,3.1,45240,50.0
53,0.9,166.0,9.7,66194,0.8
39,1.1,153.8,8.4,72421,21.9
31,9.1,148.2,6.6,56590,4.5
54,5.4,167.1,3.4,43281,26.8
35,2.2,205.3,8.1,60810,36.4
29,14.7,141.3,9.7,67111,1.8
50,14.5,113.9,2.3,46737,11.8
58,0.2,144.6,1.8,32915,37.6
30,3.1,170.6,2.5,40335,50.2
48,8.0,176.6,9.1,62633,12.9
46,3.6,151.8,3.4,56304,36.5
42,9.1,151.0,5.9,53682,28.9
52,3.2,184.7,9.7,73054,31.2
39,7.4,190.5,9.4,69247,17.6
54,4.0,156.6,6.0,59064,27.0
44,6.3,87.8,5.5,48653,17.1
53,0.2,134.4,4.1,41291,30.7
54,1.3,202.6,1.2,33140,67.3
45,4.0,158.0,5.4,48001,34.8
46,3.6,203.5,3.3,41606,44.1
55,16.3,143.8,1.1,43380,34.4
43,3.8,171.9,1.4,29025,49.8
48,3.4,136.7,9.1,65637,4.2
37,5.0,141.3,2.3,42829,28.4
50,1.6,160.7,2.7,38141,50.2
33,2.1,162.1,5.6,45818,29.3
39,3.4,142.2,6.4,51087,30.4
29,0.8,140.9,2.3,39104,47.4
35,4.8,184.4,4.1,41641,31.6
53,2.4,166.9,9.9,73292,16.3
26,2.1,130.9,8.1,52073,10.6
52,13.6,151.9,2.9,50056,38.5
35,0.2,138.3,9.7,67688,11.6
35,5.1,151.6,1.3,31510,44.7
54,4.0,181.6,4.1,49505,43.7
46,2.1,128.6,9.9,65927,5.2
58,0.7,210.0,6.0,57555,39.3
43,1.8,158.3,6.2,50774,32.3
28,1.2,201.0,9.2,64359,23.0
45,3.7,121.8,7.6,60778,9.0
50,12.5,159.9,6.0,55413,25.4
34,8.6,153.9,8.9,57665,0.0
50,3.9,158.7,1.6,32552,57.6
32,4.4,177.0,7.8,59912,22.7
33,9.1,150.2,5.3,53489,19.9
57,4.6,140.0,2.3,32542,38.1
43,2.7,170.0,5.5,54220,57.4
50,5.5,138.7,8.6,65394,11.2
30,1.1,135.5,7.4,56688,25.3
47,0.0,148.6,4.9,40859,40.9
56,0.3,151.9,7.6,63196,19.4
33,2.8,192.5,3.2,44291,55.6
47,2.7,162.4,2.0,44199,61.2
47,4.1,158.5,1.5,29740,44.2
26,3.4,165.7,2.9,34840,36.8
43,0.3,153.6,9.5,72109,14.7
51,2.0,174.3,7.7,60899,29.7
22,2.0,191.8,8.4,54921,27.2
52,1.7,102.3,7.9,52636,8.1
29,3.0,137.2,2.6,38945,38.0
55,3.0,162.5,6.5,59503,35.7
56,3.1,168.4,7.7,66697,34.9
43,5.1,162.2,6.3,50551,28.8
56,2.1,181.4,4.1,47567,37.9
51,3.7,125.3,5.7,49981,27.9
29,0.1,149.8,8.2,52540,10.2
52,2.1,176.6,3.9,46400,43.0
52,9.8,158.4,6.1,62280,17.4
34,8.9,220.5,6.5,53578,35.0
33,7.7,172.9,2.6,43381,40.5
43,1.6,187.4,3.1,38168,41.3
52,0.4,176.7,8.3,66882,30.9
29,1.7,151.9,7.8,56281,24.4
50,0.0,196.1,2.3,35056,44.7
56,0.2,94.9,6.3,57475,5.8
37,12.4,195.0,4.2,45875,32.8
44,6.1,124.9,2.7,44863,30.4
58,3.1,167.8,7.6,66322,34.7
48,24.4,182.3,9.0,73942,4.1
31,8.8,168.8,5.4,52188,22.9
41,0.3,162.7,4.5,42603,47.0
27,1.0,171.4,2.9,38428,40.7
34,7.6,135.5,8.9,69496,1.8
48,8.6,180.9,4.8,58316,30.8
57,2.6,182.6,4.2,46735,50.6
46,1.0,159.4,2.3,37310,41.8
56,5.8,141.8,7.2,62968,31.9
45,0.3,83.7,6.1,47657,8.2
40,0.7,182.9,5.3,47287,50.0
22,1.4,147.6,5.5,44149,26.4
